line,match
"812) 336 32 28 Адрес:196158, Россия, г. Санкт-Петербург, Пулковское шоссе д.30 кор. 4 офис. 304","Match(start=21, stop=85, fact=Addr(parts=[AddrPart(value='196158', type='индекс'), AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='Пулковское', type='шоссе'), AddrPart(value='30', type='дом'), AddrPart(value='4', type='корпус')]))"
"г. Казань, ул. Р.Зорге, 13А, к.1","Match(start=0, stop=22, fact=Addr(parts=[AddrPart(value='Казань', type='город'), AddrPart(value='Р.Зорге', type='улица')]))"
"119991 г. Москва, ул. Ленинские горы, вл.1, стр.75 В.","Match(start=0, stop=52, fact=Addr(parts=[AddrPart(value='119991', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Ленинские горы', type='улица'), AddrPart(value='75 В', type='строение')]))"
"7 (812) 374-88-99 196626, Санкт-Петербург, Шушары, Бадаевское отделение, д.21","Match(start=18, stop=77, fact=Addr(parts=[AddrPart(value='196626', type='индекс'), AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='21', type='дом')]))"
"Москва, Кржижановского ул., д.25","Match(start=0, stop=32, fact=Addr(parts=[AddrPart(value='Москва', type=None), AddrPart(value='Кржижановского', type='улица'), AddrPart(value='25', type='дом')]))"
"Республика Башкортостан, Уфа, ул. Достоевского, 110/1, тел. 250-82-51","Match(start=0, stop=46, fact=Addr(parts=[AddrPart(value='Башкортостан', type='республика'), AddrPart(value='Уфа', type=None), AddrPart(value='Достоевского', type='улица')]))"
"614000, г. Пермь, ул. Ленина, 64, офис 509-510, 5 этаж","Match(start=0, stop=46, fact=Addr(parts=[AddrPart(value='614000', type='индекс'), AddrPart(value='Пермь', type='город'), AddrPart(value='Ленина', type='улица'), AddrPart(value='509-510', type='офис')]))"
"Санкт-Петербург, сад Василеостровец","Match(start=0, stop=15, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type=None)]))"
"|   |   | Пр. Ветеранов, д.143","Match(start=10, stop=30, fact=Addr(parts=[AddrPart(value='Ветеранов', type='проезд'), AddrPart(value='143', type='дом')]))"
"398531, Липецкая область, Липецкий район, с.Ленино, ул. Титова, 27а","Match(start=0, stop=62, fact=Addr(parts=[AddrPart(value='398531', type='индекс'), AddrPart(value='Липецкая', type='область'), AddrPart(value='Липецкий', type='район'), AddrPart(value='Ленино', type='село'), AddrPart(value='Титова', type='улица')]))"
"с 14.00-16.00 по адресу: г. Благовещенск, ул. Зейская, д. 211, каб. 105","Match(start=25, stop=61, fact=Addr(parts=[AddrPart(value='Благовещенск', type='город'), AddrPart(value='Зейская', type='улица'), AddrPart(value='211', type='дом')]))"
"Коткозерская сельская библиотека | с. Коткозеро, ул. Олонецкая, д. 13","Match(start=35, stop=69, fact=Addr(parts=[AddrPart(value='Коткозеро', type='село'), AddrPart(value='Олонецкая', type='улица'), AddrPart(value='13', type='дом')]))"
Г.Волгоград Красноармейский р-н  ул. 40 лет ВЛКСМ 78г офис №5,"Match(start=0, stop=61, fact=Addr(parts=[AddrPart(value='Волгоград', type='город'), AddrPart(value='Красноармейский', type='район'), AddrPart(value='40 лет ВЛКСМ', type='улица'), AddrPart(value='№5', type='офис')]))"
"2012-2014 (C) ООО «Кит плюс» | тел.: +7(347)216-63-08 | e-mail: reg@polytoring.ru | адрес: 450015, г. Уфа, а.я.7","Match(start=91, stop=105, fact=Addr(parts=[AddrPart(value='450015', type='индекс'), AddrPart(value='Уфа', type='город')]))"
"г. Санкт-Петербург, ул. Садовая д. 104А, оф. 201","Match(start=0, stop=48, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='Садовая', type='улица'), AddrPart(value='104А', type='дом'), AddrPart(value='201', type='офис')]))"
"Адрес: г. Москва, Электрозаводская ул. д. 20, офис 402","Match(start=7, stop=54, fact=Addr(parts=[AddrPart(value='Москва', type='город'), AddrPart(value='Электрозаводская', type='улица'), AddrPart(value='20', type='дом'), AddrPart(value='402', type='офис')]))"
Сад Валентина Пикуля,"Match(start=0, stop=20, fact=Addr(parts=[AddrPart(value='Валентина Пикуля', type='сад')]))"
"г. Пошехонье, ул. Преображенского, д. 2","Match(start=0, stop=39, fact=Addr(parts=[AddrPart(value='Пошехонье', type='город'), AddrPart(value='Преображенского', type='улица'), AddrPart(value='2', type='дом')]))"
"Красностуденческий пр., д.2","Match(start=0, stop=27, fact=Addr(parts=[AddrPart(value='Красностуденческий', type='проезд'), AddrPart(value='2', type='дом')]))"
"м. Медведково (последний вагон из центра), далее авт.50 или маршрутное такси 50М до остановки «Улица Стартовая д.9","Match(start=95, stop=114, fact=Addr(parts=[AddrPart(value='Стартовая', type='улица'), AddrPart(value='9', type='дом')]))"
"Санкт-Петербург, с Василеостровец","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='Василеостровец', type='село')]))"
"Россия, 400029, г. Волгоград, ул. Мачтозаводская, 7","Match(start=8, stop=48, fact=Addr(parts=[AddrPart(value='400029', type='индекс'), AddrPart(value='Волгоград', type='город'), AddrPart(value='Мачтозаводская', type='улица')]))"
"394087, г. Воронеж, ул. Ломоносова, д. 98Б","Match(start=0, stop=42, fact=Addr(parts=[AddrPart(value='394087', type='индекс'), AddrPart(value='Воронеж', type='город'), AddrPart(value='Ломоносова', type='улица'), AddrPart(value='98Б', type='дом')]))"
"Ленинская Слобода ул., д.26, Москва","Match(start=0, stop=35, fact=Addr(parts=[AddrPart(value='Ленинская Слобода', type='улица'), AddrPart(value='26', type='дом'), AddrPart(value='Москва', type=None)]))"
"г. Самара, ул. Стара-Загора, дом 156, 2 подъезд, 84Н","Match(start=0, stop=36, fact=Addr(parts=[AddrPart(value='Самара', type='город'), AddrPart(value='Стара-Загора', type='улица'), AddrPart(value='156', type='дом')]))"
"236040, Российская Федерация, г. Калининград, ул. Сергеева, д. 14, каб. 117","Match(start=0, stop=65, fact=Addr(parts=[AddrPart(value='236040', type='индекс'), AddrPart(value='Калининград', type='город'), AddrPart(value='Сергеева', type='улица'), AddrPart(value='14', type='дом')]))"
"623380, Россия, Cвердловская область, город Полевской, улица Коммунистическая, 23 «а","Match(start=0, stop=77, fact=Addr(parts=[AddrPart(value='623380', type='индекс'), AddrPart(value='Полевской', type='город'), AddrPart(value='Коммунистическая', type='улица')]))"
"Адрес: 196084 г. Санкт-Петербург, ул. Заставская, д. 21.","Match(start=7, stop=55, fact=Addr(parts=[AddrPart(value='196084', type='индекс'), AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='21', type='дом')]))"
"ул. 100-й Свирской Дивизии, д.48","Match(start=0, stop=32, fact=Addr(parts=[AddrPart(value='100-й Свирской Дивизии', type='улица'), AddrPart(value='48', type='дом')]))"
"Партизанская, д. 14, литер Ж","Match(start=14, stop=19, fact=Addr(parts=[AddrPart(value='14', type='дом')]))"
"""г. Москва, 5-й Донской проезд, дом 21Б, стр. 10, этаж 5 (станция метро """"Ленинский проспект"""", станция МЦК""","Match(start=1, stop=92, fact=Addr(parts=[AddrPart(value='Москва', type='город'), AddrPart(value='5-й Донской', type='проезд'), AddrPart(value='21Б', type='дом'), AddrPart(value='10', type='строение'), AddrPart(value='Ленинский', type='проспект')]))"
ул. 22 Января д.136,"Match(start=0, stop=19, fact=Addr(parts=[AddrPart(value='22 Января', type='улица'), AddrPart(value='136', type='дом')]))"
"г. Новосибирск, ул. Сибирская, дом 31, офис 3","Match(start=0, stop=45, fact=Addr(parts=[AddrPart(value='Новосибирск', type='город'), AddrPart(value='Сибирская', type='улица'), AddrPart(value='31', type='дом'), AddrPart(value='3', type='офис')]))"
"ул. Вешняковская, д. 18","Match(start=0, stop=23, fact=Addr(parts=[AddrPart(value='Вешняковская', type='улица'), AddrPart(value='18', type='дом')]))"
"г.Красноярск, ул.Калинина, дом.№1 «Г","Match(start=0, stop=25, fact=Addr(parts=[AddrPart(value='Красноярск', type='город'), AddrPart(value='Калинина', type='улица')]))"
"Адрес: 171205, Россия, Тверская обл., Лихославльский р-н, п. Калашниково, ул. Ленина, д. 1","Match(start=7, stop=90, fact=Addr(parts=[AddrPart(value='171205', type='индекс'), AddrPart(value='Тверская', type='область'), AddrPart(value='Лихославльский', type='район'), AddrPart(value='Калашниково', type='посёлок'), AddrPart(value='Ленина', type='улица'), AddrPart(value='1', type='дом')]))"
"115191, г. Москва, 4-й Рощинский проезд, дом 19 офис 902","Match(start=0, stop=56, fact=Addr(parts=[AddrPart(value='115191', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='4-й Рощинский', type='проезд'), AddrPart(value='19', type='дом'), AddrPart(value='902', type='офис')]))"
"Кондитерское производство «АЛЬЯНС», Волгоградская обл. п.г.т. Городище, ул.Комунальная, 7","Match(start=36, stop=86, fact=Addr(parts=[AddrPart(value='Волгоградская', type='область'), AddrPart(value='Городище', type='посёлок'), AddrPart(value='Комунальная', type='улица')]))"
"ул.Балтийская, д.23","Match(start=0, stop=19, fact=Addr(parts=[AddrPart(value='Балтийская', type='улица'), AddrPart(value='23', type='дом')]))"
"г. Стерлитамак, ул. Харьковская, д.2а","Match(start=0, stop=37, fact=Addr(parts=[AddrPart(value='Стерлитамак', type='город'), AddrPart(value='Харьковская', type='улица'), AddrPart(value='2а', type='дом')]))"
"683032, Камчатский край, г. Петропавловск-Камчатский, ул. Максутова, д. 44","Match(start=0, stop=74, fact=Addr(parts=[AddrPart(value='683032', type='индекс'), AddrPart(value='Камчатский', type='край'), AddrPart(value='Петропавловск-Камчатский', type='город'), AddrPart(value='Максутова', type='улица'), AddrPart(value='44', type='дом')]))"
"14.08.2017 16:26 | Кофе | Еремин Валерий Игорьевич | АЗС № 56-030, Оренбургская область, г. Орск, ул. Краснознаменная, 1","Match(start=67, stop=117, fact=Addr(parts=[AddrPart(value='Оренбургская', type='область'), AddrPart(value='Орск', type='город'), AddrPart(value='Краснознаменная', type='улица')]))"
"127410, город Москва, Алтуфьевское шоссе, дом 41 А, строение 5, офис № 272","Match(start=0, stop=74, fact=Addr(parts=[AddrPart(value='127410', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Алтуфьевское', type='шоссе'), AddrPart(value='41 А', type='дом'), AddrPart(value='5', type='строение'), AddrPart(value='№ 272', type='офис')]))"
"Адрес: г. Набережные Челны, Мензелинский тракт, д.30 посмотреть на карте","Match(start=7, stop=52, fact=Addr(parts=[AddrPart(value='Набережные Челны', type='город'), AddrPart(value='30', type='дом')]))"
"""ООО """"ИнтерСистем"""", ОГРН 1067746775172, ИНН/КПП 7707593196/770701001, 127040, г.Москва, ул. Долгоруковская, д.40""","Match(start=72, stop=114, fact=Addr(parts=[AddrPart(value='127040', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Долгоруковская', type='улица'), AddrPart(value='40', type='дом')]))"
"""Некрасова, д. 10 Б","Match(start=12, stop=19, fact=Addr(parts=[AddrPart(value='10 Б', type='дом')]))"
"460019, г. Оренбург, Шарлыкское шоссе 1а,","Match(start=0, stop=37, fact=Addr(parts=[AddrPart(value='460019', type='индекс'), AddrPart(value='Оренбург', type='город'), AddrPart(value='Шарлыкское', type='шоссе')]))"
"Москва, Мишина улица, 56","Match(start=0, stop=20, fact=Addr(parts=[AddrPart(value='Москва', type=None), AddrPart(value='Мишина', type='улица')]))"
"Санкт-Петербург, Красное Село, ул. Свободы , дом 14","Match(start=0, stop=51, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='Свободы', type='улица'), AddrPart(value='14', type='дом')]))"
"г. Жуковский, ул. Луч 20","Match(start=0, stop=12, fact=Addr(parts=[AddrPart(value='Жуковский', type='город')]))"
"г. Екатеринбург, ул. Бажова, д.193, офис 419","Match(start=0, stop=44, fact=Addr(parts=[AddrPart(value='Екатеринбург', type='город'), AddrPart(value='Бажова', type='улица'), AddrPart(value='193', type='дом'), AddrPart(value='419', type='офис')]))"
"194358, ул. Есенина д.38, к. 1","Match(start=0, stop=24, fact=Addr(parts=[AddrPart(value='194358', type='индекс'), AddrPart(value='Есенина', type='улица'), AddrPart(value='38', type='дом')]))"
"123022, Москва, Звенигородское шоссе, д. 5","Match(start=0, stop=42, fact=Addr(parts=[AddrPart(value='123022', type='индекс'), AddrPart(value='Москва', type=None), AddrPart(value='Звенигородское', type='шоссе'), AddrPart(value='5', type='дом')]))"
"г. Хабаровск, ул. Краснореченская, 139","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Хабаровск', type='город'), AddrPart(value='Краснореченская', type='улица')]))"
"1-й Краснофотский переулок, 15","Match(start=0, stop=26, fact=Addr(parts=[AddrPart(value='1-й Краснофотский', type='переулок')]))"
"127051, город Москва, Цветной бульвар, дом 2","Match(start=0, stop=44, fact=Addr(parts=[AddrPart(value='127051', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Цветной', type='бульвар'), AddrPart(value='2', type='дом')]))"
"400131, г. Волгоград, ул. Скосырева, д. 3б","Match(start=0, stop=42, fact=Addr(parts=[AddrPart(value='400131', type='индекс'), AddrPart(value='Волгоград', type='город'), AddrPart(value='Скосырева', type='улица'), AddrPart(value='3б', type='дом')]))"
"08.01.2018 10:29 | 50 л топлива | Кадыров Музафар Харисович | г.Учалы, ул.Российская, 6","Match(start=62, stop=84, fact=Addr(parts=[AddrPart(value='Учалы', type='город'), AddrPart(value='Российская', type='улица')]))"
"г. Москва, ул. Скаковая д.32, стр.2, оф. 62.","Match(start=0, stop=43, fact=Addr(parts=[AddrPart(value='Москва', type='город'), AddrPart(value='Скаковая', type='улица'), AddrPart(value='32', type='дом'), AddrPart(value='2', type='строение'), AddrPart(value='62', type='офис')]))"
"г.Карабулак ул.Джабагиева, 1","Match(start=0, stop=25, fact=Addr(parts=[AddrPart(value='Карабулак', type='город'), AddrPart(value='Джабагиева', type='улица')]))"
"394026, г. Воронеж, проспект Труда, д. 48, оф. 97","Match(start=0, stop=49, fact=Addr(parts=[AddrPart(value='394026', type='индекс'), AddrPart(value='Воронеж', type='город'), AddrPart(value='Труда', type='проспект'), AddrPart(value='48', type='дом'), AddrPart(value='97', type='офис')]))"
"м. Парк Культуры (радиальная), ул. Остоженка, д. 53а","Match(start=46, stop=52, fact=Addr(parts=[AddrPart(value='53а', type='дом')]))"
"111123, г. Москва, шоссе Энтузиастов 56, стр. 32","Match(start=0, stop=48, fact=Addr(parts=[AddrPart(value='111123', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Энтузиастов', type='шоссе'), AddrPart(value='32', type='строение')]))"
"Юридический и почтовый адрес: ул. Советская, 51а, г. Пермь, 614000","Match(start=30, stop=66, fact=Addr(parts=[AddrPart(value='Советская', type='улица'), AddrPart(value='Пермь', type='город'), AddrPart(value='614000', type='индекс')]))"
"Адрес юридический: 197350, Санкт-Петербург, пр. Комендантский, д. 53, корп. 1, лит. А,пом. 19 Н.","Match(start=19, stop=77, fact=Addr(parts=[AddrPart(value='197350', type='индекс'), AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='Комендантский', type='проезд'), AddrPart(value='53', type='дом'), AddrPart(value='1', type='корпус')]))"
"Калужская обл., г. Малоярославец, ул. Гагарина, д. 24А","Match(start=0, stop=54, fact=Addr(parts=[AddrPart(value='Калужская', type='область'), AddrPart(value='Малоярославец', type='город'), AddrPart(value='Гагарина', type='улица'), AddrPart(value='24А', type='дом')]))"
"Почтовый адрес: 614045, г. Пермь, ул. Орджоникидзе 57,Правое крыло, оф.601","Match(start=16, stop=74, fact=Addr(parts=[AddrPart(value='614045', type='индекс'), AddrPart(value='Пермь', type='город'), AddrPart(value='Орджоникидзе', type='улица'), AddrPart(value='601', type='офис')]))"
"400074 , г.Волгоград, ул. Иркутская, д.19","Match(start=0, stop=41, fact=Addr(parts=[AddrPart(value='400074', type='индекс'), AddrPart(value='Волгоград', type='город'), AddrPart(value='Иркутская', type='улица'), AddrPart(value='19', type='дом')]))"
"27.08.2017 19:30 | Кофе | Наговицын Александр Юрьевич | АЗС № 18-003, Удмуртская Республика, г. Ижевск, ул. Холмогорова, 5","Match(start=70, stop=119, fact=Addr(parts=[AddrPart(value='Удмуртская', type='республика'), AddrPart(value='Ижевск', type='город'), AddrPart(value='Холмогорова', type='улица')]))"
"г. Уфа, ул. Баязита Бикбая, д. 33","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Уфа', type='город'), AddrPart(value='Баязита Бикбая', type='улица'), AddrPart(value='33', type='дом')]))"
"Почтовый адрес: 107078, г. Москва, Орликов переулок, д. 5, стр. 2","Match(start=16, stop=65, fact=Addr(parts=[AddrPart(value='107078', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Орликов', type='переулок'), AddrPart(value='5', type='дом'), AddrPart(value='2', type='строение')]))"
"239-24-82  | С 9.00 до 18.00, пятница – до 16.45, обед -- с 13.00 до 13.45 | 614066, г. Пермь,ул. Стахановская, 54","Match(start=77, stop=110, fact=Addr(parts=[AddrPart(value='614066', type='индекс'), AddrPart(value='Пермь', type='город'), AddrPart(value='Стахановская', type='улица')]))"
"г. Екатеринбург, ул. Черняховского, 69, А показать на карте","Match(start=0, stop=34, fact=Addr(parts=[AddrPart(value='Екатеринбург', type='город'), AddrPart(value='Черняховского', type='улица')]))"
"660075 г. Красноярск, ул. Маерчака 40 офис 201","Match(start=0, stop=46, fact=Addr(parts=[AddrPart(value='660075', type='индекс'), AddrPart(value='Красноярск', type='город'), AddrPart(value='Маерчака', type='улица'), AddrPart(value='201', type='офис')]))"
В саду Вастлеостровец,"Match(start=0, stop=6, fact=Addr(parts=[AddrPart(value='В', type='сад')]))"
"ул. Тимирязевская, д. 17, корп. 1","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Тимирязевская', type='улица'), AddrPart(value='17', type='дом'), AddrPart(value='1', type='корпус')]))"
"Иркутск, ул. Карла Либкнехта, 121","Match(start=0, stop=28, fact=Addr(parts=[AddrPart(value='Иркутск', type=None), AddrPart(value='Карла Либкнехта', type='улица')]))"
"АЙСАЙТ г Москва, ул. 3-я Тверская-Ямская, д. 12, корп. 1","Match(start=7, stop=56, fact=Addr(parts=[AddrPart(value='Москва', type='город'), AddrPart(value='3-я Тверская-Ямская', type='улица'), AddrPart(value='12', type='дом'), AddrPart(value='1', type='корпус')]))"
"""Московский проспект дом 149 """"А""","Match(start=1, stop=28, fact=Addr(parts=[AddrPart(value='Московский', type='проспект'), AddrPart(value='149', type='дом')]))"
24.06.2016 г. в ГУ – Управлении Пенсионного фонда РФ №24 по г. Москве и Московской области прошло торжественное вручение 10000 сертификат на материнский (семейный) капитал.,"Match(start=60, stop=90, fact=Addr(parts=[AddrPart(value='Москве', type='город'), AddrPart(value='Московской', type='область')]))"
"350080, г.Краснодар, ул.Новороссийская, д.51","Match(start=0, stop=44, fact=Addr(parts=[AddrPart(value='350080', type='индекс'), AddrPart(value='Краснодар', type='город'), AddrPart(value='Новороссийская', type='улица'), AddrPart(value='51', type='дом')]))"
"Адрес: г. Волжский, ул. Молодёжная, 12а (вход с торца)","Match(start=7, stop=34, fact=Addr(parts=[AddrPart(value='Волжский', type='город'), AddrPart(value='Молодёжная', type='улица')]))"
"пл. Чернышевского, дом 11, ст""","Match(start=0, stop=25, fact=Addr(parts=[AddrPart(value='Чернышевского', type='площадь'), AddrPart(value='11', type='дом')]))"
"Россия, 614107, г. Пермь, ул. Инженерная 14","Match(start=8, stop=40, fact=Addr(parts=[AddrPart(value='614107', type='индекс'), AddrPart(value='Пермь', type='город'), AddrPart(value='Инженерная', type='улица')]))"
"394025, г. Воронеж, ул. Плехановская, д. 53, оф. 202","Match(start=0, stop=52, fact=Addr(parts=[AddrPart(value='394025', type='индекс'), AddrPart(value='Воронеж', type='город'), AddrPart(value='Плехановская', type='улица'), AddrPart(value='53', type='дом'), AddrPart(value='202', type='офис')]))"
"Санкт-Петербург, ул. Ленина, д. 8, вход с","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='Ленина', type='улица'), AddrPart(value='8', type='дом')]))"
"123100 Москва, Краснопресненская набережная, д.14 стр 1, 10 этаж, помещение 1","Match(start=0, stop=55, fact=Addr(parts=[AddrPart(value='123100', type='индекс'), AddrPart(value='Москва', type=None), AddrPart(value='Краснопресненская', type='набережная'), AddrPart(value='14', type='дом'), AddrPart(value='1', type='строение')]))"
"Юридический адрес:  344090, г. Ростов-на-Дону, ул.  Доватора, 144/6","Match(start=20, stop=60, fact=Addr(parts=[AddrPart(value='344090', type='индекс'), AddrPart(value='Ростов-на-Дону', type='город'), AddrPart(value='Доватора', type='улица')]))"
"г.Екатеринбург, ул.Нагорная,12, офис 112 а","Match(start=0, stop=42, fact=Addr(parts=[AddrPart(value='Екатеринбург', type='город'), AddrPart(value='Нагорная', type='улица'), AddrPart(value='112 а', type='офис')]))"
"Санкт-Петербург, с. Василеостровец","Match(start=0, stop=34, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type=None), AddrPart(value='Василеостровец', type='село')]))"
г.Серпухов ул.Ворошилова д.134,"Match(start=0, stop=30, fact=Addr(parts=[AddrPart(value='Серпухов', type='город'), AddrPart(value='Ворошилова', type='улица'), AddrPart(value='134', type='дом')]))"
"109544, Москва, бульвар Энтузиастов, д. 2, Бизнес-центр """"Golden Gate"""", этаж 13""","Match(start=0, stop=41, fact=Addr(parts=[AddrPart(value='109544', type='индекс'), AddrPart(value='Москва', type=None), AddrPart(value='Энтузиастов', type='бульвар'), AddrPart(value='2', type='дом')]))"
"603141 Нижний Новгород,ул. Ларина, дом № 12, оф.8","Match(start=0, stop=49, fact=Addr(parts=[AddrPart(value='603141', type='индекс'), AddrPart(value='Нижний Новгород', type=None), AddrPart(value='Ларина', type='улица'), AddrPart(value='№ 12', type='дом'), AddrPart(value='8', type='офис')]))"
"Наро-фоминкс, ул. Ленина, д. 25, 2","Match(start=14, stop=31, fact=Addr(parts=[AddrPart(value='Ленина', type='улица'), AddrPart(value='25', type='дом')]))"
"г. Абакан, ул. Ивана Ярыгина, д. 58","Match(start=0, stop=35, fact=Addr(parts=[AddrPart(value='Абакан', type='город'), AddrPart(value='Ивана Ярыгина', type='улица'), AddrPart(value='58', type='дом')]))"
"302025, г.Орел, Московское шоссе 137, корпус 3","Match(start=0, stop=46, fact=Addr(parts=[AddrPart(value='302025', type='индекс'), AddrPart(value='Орел', type='город'), AddrPart(value='Московское', type='шоссе'), AddrPart(value='3', type='корпус')]))"
"426010, УР, г.Ижевск, ул.Азина, д.1а","Match(start=0, stop=36, fact=Addr(parts=[AddrPart(value='426010', type='индекс'), AddrPart(value='Ижевск', type='город'), AddrPart(value='Азина', type='улица'), AddrPart(value='1а', type='дом')]))"
"Фактический адрес: 119180, г. Москва, ул. Б. Полянка, д. 2, стр. 2, пом. I, ком. 9","Match(start=19, stop=66, fact=Addr(parts=[AddrPart(value='119180', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Б. Полянка', type='улица'), AddrPart(value='2', type='дом'), AddrPart(value='2', type='строение')]))"
"г. Подольск, ул. Вишневая, 5 Б","Match(start=0, stop=25, fact=Addr(parts=[AddrPart(value='Подольск', type='город'), AddrPart(value='Вишневая', type='улица')]))"
"125252, г. Москва, ул. Зорге, д. 28, корп. 1","Match(start=0, stop=44, fact=Addr(parts=[AddrPart(value='125252', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='28', type='дом'), AddrPart(value='1', type='корпус')]))"
"г. Мурманск, ул. Старостина 4","Match(start=0, stop=27, fact=Addr(parts=[AddrPart(value='Мурманск', type='город'), AddrPart(value='Старостина', type='улица')]))"
"ул. Оптиков, д.22","Match(start=0, stop=17, fact=Addr(parts=[AddrPart(value='Оптиков', type='улица'), AddrPart(value='22', type='дом')]))"
"г. Санкт-Петербург, ул. Достоевского, д. 4","Match(start=0, stop=42, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='Достоевского', type='улица'), AddrPart(value='4', type='дом')]))"
"г. Псков, Ленинградское шоссе, д. 24, между фасадом здания общежития колледжа №6 и Ленинградским шоссе""","Match(start=0, stop=102, fact=Addr(parts=[AddrPart(value='Псков', type='город'), AddrPart(value='Ленинградское', type='шоссе'), AddrPart(value='24', type='дом'), AddrPart(value='Ленинградским', type='шоссе')]))"
"188810, Ленинградская область, город Выборг, Ленинградское шоссе, дом 23","Match(start=0, stop=72, fact=Addr(parts=[AddrPart(value='188810', type='индекс'), AddrPart(value='Ленинградская', type='область'), AddrPart(value='Выборг', type='город'), AddrPart(value='Ленинградское', type='шоссе'), AddrPart(value='23', type='дом')]))"
"353814, Красноармейский р-н, х.им. Калинина, ул. Северная, д.82","Match(start=0, stop=63, fact=Addr(parts=[AddrPart(value='353814', type='индекс'), AddrPart(value='Красноармейский', type='район'), AddrPart(value='Северная', type='улица'), AddrPart(value='82', type='дом')]))"
"Москва, 1-я Магистральная ул., д. 2","Match(start=0, stop=35, fact=Addr(parts=[AddrPart(value='Москва', type=None), AddrPart(value='1-я Магистральная', type='улица'), AddrPart(value='2', type='дом')]))"
